기준_날짜,집계_기준,기준_시간대,시작_대여소_ID,시작_대여소명,종료_대여소_ID,종료_대여소명,전체_건수,전체_이용_분,전체_이용_거리
20231101,,2125,ST-1364,,ST-1184,,2,22,2962
20231101,,845,ST-213,,ST-203,,1,2,610
20231101,,210,ST-1492,,ST-2200,,1,2,0
20231101,,1810,ST-2537,,ST-77,,1,20,2056
20231101,,2045,ST-189,,ST-3210,,1,3,425
20231101,,1805,ST-68,,ST-2814,,1,35,495
20231101,,815,ST-2563,,ST-1976,,1,3,554
20231101,,805,ST-1994,,ST-73,,1,37,5360
20231101,,35,ST-2012,,ST-2398,,1,3,659
20231101,,635,ST-2501,,ST-250,,1,4,840
20231101,,1925,ST-2276,,ST-250,,1,17,2120
20231101,,1705,ST-502,,ST-2595,,1,20,2814
20231101,,1855,ST-3260,,ST-3260,,1,0,0
20231101,,1240,ST-3150,,ST-3150,,1,64,5960
20231101,,1800,ST-869,,ST-869,,1,47,1300
20231101,,1255,ST-891,,ST-1859,,1,10,1563
20231101,,1555,ST-155,,ST-155,,1,114,110
20231101,,825,ST-2579,,ST-2798,,1,6,1310
20231101,,1650,ST-1288,,ST-2401,,1,12,1443
20231101,,1815,ST-1351,,ST-2613,,1,4,587
20231101,,820,ST-1858,,ST-3049,,1,17,4000
20231101,,1830,ST-834,,ST-2000,,1,16,2296
20231101,,755,ST-2581,,ST-1855,,1,2,0
20231101,,1930,ST-241,,ST-1201,,1,43,7730
20231101,,2000,ST-2003,,ST-320,,1,13,1615
20231101,,535,ST-915,,ST-2804,,1,5,479
20231101,,1920,ST-493,,ST-2592,,3,163,19882
20231101,,1425,ST-1672,,ST-2085,,1,18,3300
20231101,,1140,ST-1745,,ST-2504,,1,4,810
20231101,,610,ST-2945,,ST-1709,,1,3,757
20231101,,1805,ST-2034,,ST-1718,,1,8,1470
20231101,,1140,ST-3214,,ST-1582,,1,6,1230
20231101,,830,ST-678,,ST-3224,,1,6,1080
20231101,,1755,ST-2208,,ST-2205,,1,69,2970
20231101,,1840,ST-1677,,ST-2812,,1,31,4130
20231101,,920,ST-883,,ST-1753,,1,5,880
20231101,,545,ST-1857,,ST-2591,,1,111,2391
20231101,,1240,ST-273,,ST-827,,1,5,593
20231101,,1755,ST-2798,,ST-839,,1,3,504
20231101,,1805,ST-84,,ST-94,,1,7,824
20231101,,610,ST-2395,,ST-2550,,1,36,4760
20231101,,750,ST-614,,ST-2115,,1,7,1753
20231101,,1955,ST-1041,,ST-1041,,1,0,0
20231101,,1820,ST-3142,,ST-2815,,1,63,2013
20231101,,1710,ST-1429,,ST-974,,1,1,88
20231101,,1430,ST-1808,,ST-155,,1,53,338
20231101,,1115,ST-1709,,ST-1645,,1,7,1177
20231101,,845,ST-295,,ST-1973,,1,3,730
20231101,,1850,ST-2497,,ST-2904,,1,3,2460
20231101,,1550,ST-1456,,ST-1818,,1,6,869
20231101,,730,ST-1934,,ST-622,,1,13,1855
20231101,,1605,ST-345,,ST-460,,1,10,1490
20231101,,1715,ST-496,,ST-505,,1,47,3002
20231101,,1555,ST-547,,ST-2602,,1,9,1080
20231101,,740,ST-2889,,ST-1063,,1,105,372
20231101,,845,ST-401,,ST-1625,,1,5,710
20231101,,1410,ST-522,,ST-522,,1,20,1174
20231101,,1200,ST-3214,,ST-1590,,1,44,1880
20231101,,1905,ST-341,,ST-2168,,1,7,880
20231101,,805,ST-2844,,ST-2844,,1,20,1385
20231101,,755,ST-1055,,ST-1850,,1,14,1888
20231101,,1335,ST-1640,,ST-2723,,1,26,3674
20231101,,1950,ST-3212,,ST-306,,1,13,1790
20231101,,1855,ST-1667,,ST-2827,,1,12,923
20231101,,710,ST-1440,,ST-228,,1,27,4676
20231101,,625,ST-1474,,ST-1474,,1,114,3788
20231101,,2030,ST-2502,,ST-271,,1,4,821
20231101,,1815,ST-1736,,ST-1495,,1,5,710
20231101,,1150,ST-1829,,ST-3075,,1,9,1480
20231101,,1130,ST-765,,ST-761,,1,6,1078
20231101,,1415,ST-823,,ST-1574,,1,100,12260
20231101,,2100,ST-3069,,ST-495,,1,25,4530
20231101,,825,ST-308,,ST-2047,,1,20,3650
20231101,,1225,ST-1517,,ST-1065,,1,5,677
20231101,,2150,ST-1236,,ST-1529,,2,62,5088
20231101,,1015,ST-2889,,ST-2943,,1,12,1909
20231101,,2045,ST-1727,,ST-2492,,1,45,2182
20231101,,1400,ST-1646,,ST-2944,,1,7,600
20231101,,1605,ST-506,,ST-446,,1,5,999
20231101,,2350,ST-1357,,ST-724,,1,8,1801
20231101,,745,ST-1941,,ST-668,,1,9,1190
20231101,,210,ST-3140,,ST-2206,,1,17,3060
20231101,,1730,ST-1041,,ST-2740,,1,5,530
20231101,,455,ST-1836,,ST-2748,,1,4,753
20231101,,2010,ST-2456,,ST-245,,1,41,8534
20231101,,1735,ST-1707,,ST-1076,,1,4,626
20231101,,1625,ST-547,,ST-1681,,1,13,2104
20231101,,1855,ST-1895,,ST-2688,,1,10,1056
20231101,,1605,ST-1305,,ST-2667,,2,39,3401
20231101,,830,ST-3202,,ST-2472,,1,12,757
20231101,,835,ST-729,,ST-2355,,1,1,0
20231101,,2300,ST-3068,,ST-516,,1,7,1039
20231101,,2015,ST-2011,,ST-2395,,1,18,1310
20231101,,505,ST-2110,,ST-2094,,1,24,2496
20231101,,1200,ST-914,,ST-2088,,1,23,2983
20231101,,1625,ST-1649,,ST-413,,1,6,1020
20231101,,1450,ST-2536,,ST-33,,1,18,3640
20231101,,2030,ST-1166,,ST-1879,,1,15,3280
20231101,,1035,ST-985,,ST-361,,1,21,2640
20231101,,755,ST-594,,ST-586,,2,6,1242
20231101,,2210,ST-2409,,ST-1894,,1,26,5889
20231101,,2315,ST-2062,,ST-1119,,2,26,3240
20231101,,955,ST-2536,,ST-210,,1,2,790
20231101,,1040,ST-1015,,ST-1220,,1,32,7029
20231101,,1820,ST-1961,,ST-920,,1,11,831
20231101,,845,ST-73,,ST-2814,,1,6,1006
20231101,,1005,ST-1219,,ST-1403,,1,8,1493
20231101,,905,ST-391,,ST-406,,1,4,670
20231101,,1810,ST-273,,ST-1811,,1,26,3590
20231101,,1515,ST-699,,ST-687,,1,5,809
20231101,,2035,ST-8,,ST-2167,,1,10,1124
20231101,,1715,ST-2411,,ST-2857,,1,53,1351
20231101,,2100,ST-827,,ST-1202,,1,7,1365
20231101,,1920,ST-497,,ST-502,,1,4,980
20231101,,1050,ST-1684,,ST-493,,1,49,845
20231101,,350,ST-794,,ST-1174,,1,8,595
20231101,,1725,ST-668,,ST-2767,,1,43,9843
20231101,,1955,ST-2340,,ST-2501,,1,14,2030
20231101,,1825,ST-446,,ST-3098,,1,38,8870
20231101,,1940,ST-1609,,ST-198,,1,8,1042
20231101,,1700,ST-408,,ST-273,,1,70,1940
20231101,,2300,ST-413,,ST-413,,1,23,1560
20231101,,820,ST-486,,ST-494,,1,10,1960
20231101,,1100,ST-1736,,ST-2002,,1,8,631
20231101,,1150,ST-289,,ST-289,,1,3,450
20231101,,1305,ST-815,,ST-3077,,1,11,1221
20231101,,1725,ST-1184,,ST-2474,,1,8,920
20231101,,1720,ST-1443,,ST-3080,,1,10,1200
20231101,,110,ST-1812,,ST-158,,1,11,1582
20231101,,1205,ST-1760,,ST-111,,1,16,3150
20231101,,1635,ST-2527,,ST-435,,1,26,4970
20231101,,250,ST-1730,,ST-3153,,1,15,1977
20231101,,2035,ST-1182,,ST-1247,,2,52,5015
20231101,,2135,ST-1347,,ST-2898,,1,21,2394
20231101,,825,ST-570,,ST-2293,,1,4,479
20231101,,1835,ST-2905,,ST-2905,,2,111,4367
20231101,,1805,ST-892,,ST-2876,,1,9,1494
20231101,,1920,ST-705,,ST-705,,1,82,5368
20231101,,525,ST-2176,,ST-2527,,1,30,10070
20231101,,20,ST-2040,,ST-975,,1,11,2045
20231101,,1125,ST-2960,,ST-2017,,1,11,2350
20231101,,525,ST-603,,ST-1349,,1,6,866
20231101,,1630,ST-530,,ST-530,,1,0,0
20231101,,900,ST-1722,,ST-2318,,1,9,2016
20231101,,830,ST-2058,,ST-3100,,1,19,2807
20231101,,1740,ST-619,,ST-1522,,1,27,4918
20231101,,845,ST-1492,,ST-230,,1,11,1260
20231101,,730,ST-180,,ST-2923,,1,6,1200
20231101,,2150,ST-2630,,ST-2283,,1,4,700
